Registered Qualifying Data Centers										
Data Center	Effective Date	Owner Name	Owner Registration #	Occupant Name	Occupant Registration #	Operator Name	Operator Registration #	Exemption End Date	Location	Notes
1102 McKinzie LLC Data Center	02/23/2024	1102 McKinzie LLC	DC832828-OW1	1102 McKinzie LLC	DC832828-OC1	1102 McKinzie LLC	DC832828-OP1		1102 McKinzie Rd Corpus Christi, Nueces County,TX 78410	
1242 McKinzie LLC Data Center	06/11/2024	1242 McKinzie LLC	DC778911-OW1	1242 McKinzie LLC	DC778911-OC1	1102 McKinzie LLC	DC778911-OP1		1242 McKinzie Road Corpus Christi, Nueces County, TX 78410	
3301 Hibbetts Road Data Center	02/20/2024			Coreweave, Inc.	DC481494-OC1	Core Scientific, Inc. Coreweave Compute Acquisition Co. II. LLC	DC481494-OP1 DC481494-OP2		3301 Hibbetts Road Abilene, Taylor County, TX, 79601	
ALE60 Data Center	01/01/2021	COPT San Antonio LP	DC046706-OW1	Amazon Data Services Inc.	DC046706-OC1	Amazon Data Services Inc.	DC046706-OP1		7400 Potranco Road  San Antonio, Bexar County, TX 78245	
ALE61 Data Center	01/01/2021	Amazon Data Services Inc.	DC271710-OW1	Amazon Data Services Inc.	DC271710-OC1	Amazon Data Services Inc.	DC271710-OP1		11625 Old Corpus Christi Highway San Antonio, Bexar County, TX 78223	
ALE62 Data Center	01/01/2021	Amazon Data Services Inc.	DC470569-OW1	Amazon Data Services Inc.	DC470569-OC1	Amazon Data Services Inc.	DC470569-OP1		TX-211 & Lambda Drive San Antonio, Bexar County, TX 78245	
Austin Data Center 2 LLC	01/15/2025	Austin Data Center 2 LLC	DC106300-OW1	Design, LLC	DC106300-OC1	Google, LLC	DC106300-OP1		2515 S Kenney Fort Blvd Pflugerville, Travis County, TX 78660	
Bastrop Project One	12/06/2023	Ocean Blockchain LLC	DC737649-OW1	Ocean Blockchain LLC	DC737649-OC1	Ocean Blockchain LLC	DC737649-OP1		2017 FM 969, Elgin, Bastrop County, TX 78621	
C1 Dallas - Allen (LOT 1) LLC	11/01/2024	C1 Dallas - Allen (LOT 1) LLC	DC719806-OW1	Oracle America, Inc.	DC719806-OC1	C1 Dallas - Allen (LOT 1) LLC	DC719806-OP1		2300 Chelsea Blvd Allen, Collin County, TX 75013	
C1 Richardson LLC Data Center	05/08/2025	C1 Richardson LLC	DC037947-OW1	Coreweave, Inc.	DC037947-OC1	C1 Richardson LLC	DC037947-OP1		1510 E Lookout Dr Richardson, Dallas County, TX 75082	
Canadian Breaks Data Center	09/05/2024	Zephyr Infrastructure LLC	DC536163-OW1	American Bitcoin Operating LLC	DC536163-OC2	Zephyr Infrastructure LLC	DC536163-OP1		6237 CR 44 Vega, Deaf Smith/Oldham County, TX 79092	• Owner: Zephyr Infrastructure LLC. Occupant: American Bitcoin Operating LLC.  • American Bitcoin is Hut 8's mining subsidiary (formerly USBTC brand). Need to confirm whether Zephyr is a Hut 8 entity or a third-party landlord with Hut 8 as tenant.
Cedarvale, Barslow/Pyote TX Data Center	01/30/2024	Ionic Digital Cedarvale LLC	DC961705-OW1	Ionic Digital Mining LLC	DC961705-OC1	Ionic Digital Mining LLC	DC737649-OP1		3013 Ranch Rd 516 Barstow, Ward County, TX 79719	
Cipher Black Pearl LLC Data Center	02/15/2024	Cipher Black Pearl LLC	DC470713-OW1	Cipher Black Pearl LLC	DC470713-OC1	Cipher Black Pearl LLC	DC470713-OP1		11786 Co Rd 209 Wink, Winkler County, TX 79789	
Cipher Mining Technologies Inc. - Odessa Site	01/24/2023	Cipher Mining Technologies Inc.	DC453534-OW1	Cipher Mining Technologies Inc.	DC453534-OC1	Cipher Mining Technologies Inc.	DC453534-OP1		2901 Navasota Dr Odessa, Ector County, TX 79766	
DFW 9	10/01/2025	DB Data Center Red Oak, LLC	DC047213-OW1	Oracle America Cloud Services LLC	DC047213-OC1	Databank Holdings LTD	DC047213-OP1		300 Houston School Rd Red Oak, Ellis County, TX 75154	
DFW 10	10/01/2025	DB Data Center Red Oak, LLC	DC961212-OW1	Oracle America Cloud Services LLC	DC961212-OC1	Databank Holdings LTD	DC961212-OP1		300 Houston School Rd Red Oak, Ellis County, TX 75154	
DFW 11	10/01/2025	DB Data Center Red Oak, LLC	DC018720-OW1	Oracle America Cloud Services LLC	DC018720-OC1	Databank Holdings LTD	DC018720-OP1		300 Houston School Rd Red Oak, Ellis County, TX 75154	
DFW 12	10/01/2025	DB Data Center Red Oak, LLC	DC 358218-OW1	Oracle America Cloud Services LLC	DC 358218-OC1	Databank Holdings LTD	DC358218-OP1		300 Houston School Rd Red Oak, Ellis County, TX 75154	
DFW 37	05/14/2025	Digital Garland Campbell, L.P.	DC310690-OW1	LinkedIn Corporation	DC310690-OC1	Digital Garland Campbell, L.P.	DC310690-OP1		1502 Ferris Rd Garland, Dallas County, TX 75044	
Digital Garland	06/13/2022	DDI Garland, LLC	DC137575-OW2	Wells Fargo Bank, NA	DC137575-OC1	DDI Garland, LLC	DC137575-OP2		1505 Ferris Rd Garland, Dallas County, TX 75044	
Dory Creek LLC Data Center	04/03/2023	Bitdeer Inc.	DC470313-OW1	Dory Creek LLC	DC470313-OC2	Dory Creek LLC	DC470313-OP2		3291 Charles Martin Hall Rd Rockdale, Milam County, TX 76567	
Fort Blocks LLC Data Center	01/01/2022	Fort Blocks LLC	DC906762-OW1	Fort Blocks LLC	DC906762 - OC1	Fort Blocks LLC	DC906762-OP1		1304 N. Valentine St. Fort Stockton, Pecos County, TX 79735	
Fort Haskell Data Center	01/16/2024	Fort Haskell LLC	DC112125-OW1	Fort Haskell LLC	DC1125125-OC1	Fort Haskell LLC	DC112125-OP1		10357 Loop Road Haskell, Haskell County, TX 79521	
Giga Texas Datacenter	03/25/2024	Tesla, Inc.	DC541552-OW1	Tesla, Inc.	DC541552-OC1	Tesla, Inc.	DC541552-OP1	04/09/2024	1 Tesla Rd Austin, Travis County, TX 78725	
Hackberry Data Center	12/15/2025	Silver Basin Digital Infrastructure LLC	DC856324-OW1	American Bitcoin Operating LLC	DC856324-OC1	Silver Basin Digital Infrastructure LLC	LLC DC856324-OP1		Vega, Oldham County, TX	• Hut 8 is developing the 205 MW Project Vega Data Center, a massive digital asset mining and AI-capable facility in Oldham County, Texas, near the town of Vega, which launched in Q2 2025. This site features a 162,000 sq ft, liquid-cooled, and wind-powered facility. It is part of Hut 8's expanding Texas portfolio.  • Powered behind-the-meter by a wind farm and front-of-the-meter by an ERCOT grid connection, Vega features a proprietary, rack-based, direct-to-chip liquid cooling system designed in-house by Hut 8, and is able to support densities up to 180kW per rack. Some 96 custom-designed cooling modules circulate 120,000 gallons of glycol-water solution through a closed-loop, according to the company. • Owner: Silver Basin Digital Infrastructure LLC. Occupant: American Bitcoin Operating LLC. Same question—Silver Basin may be a third-party owner with Hut 8 as tenant/operator.
HELO1 DC	06/08/2021	GALAXY HELIOS I	DC589085-OW3	COREWEAVE, INC.	DC589085-OC2	GALAXY HELIOS I	DC589085-OP3		984 Co Rd 112 Afton, Dickens County, TX 79220	• The physical address was the part Galaxy tried to get redacted under confidential treatment. Kirkland & Ellis specifically sought to shield "Part E" which is exactly where the address appears. The PUC apparently didn't grant full confidentiality on it, which is why it's visible in the contract. PUC self-generator registrations are a productive avenue for physical addresses that companies are actively trying to obscure elsewhere. • The backup diesel generator is 327.2 MW capacity serving a 200 MW co-located load. That's the backup generation, not the primary power—consistent with the behind-the-meter natural gas buildout described in the news coverage.
Hockley Data Center	07/20/2024	SF HOUH LLC	DC591479-OW1	SF HOUH LLC	DC591479-OC1	SF HOUH LLC	DC591479-OP1	08/19/2024	20401 Betka Rd Hockley, Harris County, TX 77447	
